id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
catcoin-token,cats,CatCoin Token,3.51876e-10,0.0,384.82,4.26772e-10,3.48405e-10,-16.68388
chinese-brett,chrett,Chinese Brett,0.00013222,0.0,1223.02,0.00014373,0.00013187,-7.89054
inpulse-x-2,ipx,InpulseX,3.516e-05,0.0,3.52,,,
chainback,archive,Chainback,9.663e-05,0.0,11.7,,,
gobtc,gobtc,goBTC,109110.0,0.0,20424.0,111784.0,108060.0,-2.14598
jpyc,jpyc,JPY Coin v1,0.00849341,0.0,85.67,0.00864723,0.00831147,-1.77061
cneta,cneta,cNETA,9.501e-05,0.0,7.03,,,
ifarm,ifarm,iFARM,40.79,0.0,168.03,42.17,40.07,-2.67148
corex,corx,COREX,0.0194259,0.0,244413.0,0.02064925,0.01910015,-3.6375
ilcoin,ilc,ILCOIN,0.00078536,0.0,2143.52,0.00087732,0.00077527,-9.42389
hodlassets,hodl,HodlAssets,0.00151382,0.0,0.154497,0.00158449,0.00150297,-2.94216
gursonavax,gurs,GursOnAVAX,2.22e-06,0.0,452.4,2.57e-06,2.22e-06,-13.61914
juice,$juice,Juice,0.088277,0.0,7.69,0.0895,0.086296,-1.36584
chimpzee-chmpz,chmpz,Chimpzee (CHMPZ）,4.168e-05,0.0,142219.0,4.283e-05,4.165e-05,-2.68814
guzzler,gzlr,Guzzler,7.8e-06,0.0,166.02,,,
hurricaneswap-token,hct,HurricaneSwap,3.803e-05,0.0,11235.13,3.931e-05,3.801e-05,-3.15023
cockcardano,cock,CockCardano,0.00153488,0.0,1541.3,0.0015999,0.00144118,-2.51649
innova,inn,Innova,0.00320026,0.0,28.51,,,
grow-token-3,grow,Grow Token,0.02756089,0.0,13958.83,0.0304032,0.02562505,-8.92711
jpool,jsol,JPool Staked SOL,249.85,0.0,869.54,264.52,249.88,-5.00576
hump,hump,Hump,0.00013284,0.0,71.53,0.00013411,0.00012979,-0.50197
colle-ai,colle,Colle AI,4.125e-05,0.0,1711.05,4.131e-05,3.34e-05,1.92148
gravity-finance,gfi,Gravity Finance [OLD],0.0002544,0.0,225.54,0.00025691,0.000252,-0.91984
coredao,coredao,coreDAO,1.25,0.0,122.3,1.29,1.25,-3.07534
karmaverse,knot,Karmaverse,0.00184576,0.0,17983.63,0.00187466,0.00183712,-0.82924
immutable-zkevm-bridged-eth,eth,Immutable zkEVM Bridged ETH,3858.89,0.0,290408.0,4058.97,3834.5,-4.38944
catge-coin,catge,Catge Coin,2.24153e-10,0.0,16.08,2.36756e-10,2.23971e-10,-5.3233
google-tokenized-stock-defichain,dgoogl,Google Tokenized Stock Defichain,11.66,0.0,2.06,,,
chainbing,cbg,Chainbing,0.00131568,0.0,11110.26,0.00154692,0.00131013,-8.15377
gocharge-tech,charged,GoCharge Tech,0.00061548,0.0,0.204961,,,
groove,groove,GROOVE,5.658e-05,0.0,2019.13,6.839e-05,5.401e-05,-16.57847
hashbit,hbit,HashBit [OLD],2.0012e-08,0.0,0.116675,,,
